route_id,service_id,trip_id,trip_headsign,block_id,trip_short_name,direction_id,wheelchair_accessible,shape_id
明の星通り線(12141),土日祝,土日祝_17時20分_系統12141,G21戸山団地（明の星通り線）,,,0,1,12141
国道・古川線(24032),土日祝,土日祝_17時22分_系統24032,A1観光通り→青森駅（国道・古川線）,,,1,1,24032
浪館通り線(35161),土日祝,土日祝_17時23分_系統35161,P40慈恵会病院（浪館通り線）,,,0,1,35161
旭町通り線(48021),土日祝,土日祝_17時24分_系統48021,M42南高校（旭町通り線）,,,0,1,48021
新町線(15032),土日祝,土日祝_17時25分_系統15032,B1中筒井→青森駅（新町線）,,,1,1,15032
石江・新城線(39181),土日祝,土日祝_17時25分_系統39181,T50西部〈営〉（石江・新城線）,,,0,1,39181
国道・古川線(44332),土日祝,土日祝_17時25分_系統44332,A1青森駅（国道・古川線）,,,1,1,44332
中筒井線(8031),土日祝,土日祝_17時26分_系統8031,J24田茂木野（中筒井線）,,,0,1,8031
沖館・新田線(45151),土日祝,土日祝_17時27分_系統45151,W53野木和団地（沖館・新田線）,,,0,1,45151
造道・八重田線(49021),土日祝,土日祝_17時28分_系統49021,C11浅虫温泉駅（造道・八重田線）,,,0,1,49021
国道・古川線(1021),土日祝,土日祝_17時29分_系統1021,A1青森駅（国道・古川線）,,,1,1,1021
観光通り線(24011),土日祝,土日祝_17時30分_系統24011,K33学校教育センター（観光通り線）,,,0,1,24011
国道・古川線(6172),土日祝,土日祝_17時31分_系統6172,A1小柳団地→青森駅（国道・古川線）,,,1,1,6172
国道・古川線(41131),土日祝,土日祝_17時32分_系統41131,A1西バイパス→青森駅（国道・古川線）,,,1,1,41131
浜田循環(80031),土日祝,土日祝_17時35分_系統80031,M35浜田循環→青森駅（旭町通り線）,,,1,1,80031
造道・八重田線(39231),土日祝,土日祝_17時38分_系統39231,C12県立中央病院（造道・八重田線）,,,1,1,39231
新町線(12062),土日祝,土日祝_17時39分_系統12062,B1浜館→青森駅（新町線）,,,1,1,12062
石江・新城線(39181),土日祝,土日祝_17時40分_系統39181,T50西部〈営〉（石江・新城線）,,,0,1,39181
松森・浜館線(12061),土日祝,土日祝_17時41分_系統12061,H21戸山団地（松森・浜館線）,,,0,1,12061
沖館・新田線(47031),土日祝,土日祝_17時42分_系統47031,W54後潟（沖館・新田線）,,,0,1,47031
国道・古川線(22022),土日祝,土日祝_17時42分_系統22022,A1観光通り→青森駅（国道・古川線）,,,1,1,22022
国道・古川線(35162),土日祝,土日祝_17時43分_系統35162,A1青森駅（国道・古川線）,,,1,1,35162
造道・八重田線(25051),土日祝,土日祝_17時43分_系統25051,C13築木館（造道・八重田線）,,,0,1,25051
観光通り線(22021),土日祝,土日祝_17時44分_系統22021,K37問屋町（観光通り線）,,,0,1,22021
浪館通り線(35161),土日祝,土日祝_17時45分_系統35161,P40慈恵会病院（浪館通り線）,,,0,1,35161
小柳線(6161),土日祝,土日祝_17時46分_系統6161,F10東部〈営〉（小柳線(桜川経由)）,,,0,1,6161
浪館通り線(38031),土日祝,土日祝_17時49分_系統38031,P41細越（浪館通り線）,,,0,1,38031
横内環状線(14021),土日祝,土日祝_17時50分_系統14021,J32横内環状→青森駅（中筒井線）,,,1,1,14021
旭町通り線(33091),土日祝,土日祝_17時52分_系統33091,M44中大野→野木（旭町通り線）,,,0,1,33091
沖舘・新田線(42012),土日祝,土日祝_17時52分_系統42012,W53野木和団地（沖館・新田線）,,,1,1,42012
国道・古川線(20132),土日祝,土日祝_17時53分_系統20132,A1観光通り→青森駅（国道・古川線）,,,1,1,20132
国道・古川線(38052),土日祝,土日祝_17時55分_系統38052,A1青森駅（国道・古川線）,,,1,1,38052
石江・新城線(48012),土日祝,土日祝_17時57分_系統48012,T50西部〈営〉（石江・新城線）,,,0,1,48012
国道・古川線(36202),土日祝,土日祝_17時57分_系統36202,A1西滝→青森駅（国道・古川線）,,,1,1,36202
国道・古川線(45132),土日祝,土日祝_18時00分_系統45132,A1青森駅（国道・古川線）,,,1,1,45132
浪館通り線(36221),土日祝,土日祝_18時00分_系統36221,P51三内丸山遺跡（浪館通り線）,,,0,1,36221
浜田循環(80041),土日祝,土日祝_18時00分_系統80041,K35浜田循環→青森駅（観光通り線）,,,1,1,80041
国道・古川線(37032),土日祝,土日祝_18時01分_系統37032,A1青森駅（国道・古川線）,,,1,1,37032
